,index,Classement,Nom équipe,Points,Saison,Moment saison
0,3,4,FC Arsenal,68,10/11,2ème partie saison
1,2,3,FC Arsenal,70,11/12,2ème partie saison
2,3,4,FC Arsenal,73,12/13,2ème partie saison
3,3,4,FC Arsenal,79,13/14,2ème partie saison
4,2,3,FC Arsenal,75,14/15,2ème partie saison
5,1,2,FC Arsenal,71,15/16,2ème partie saison
6,4,5,FC Arsenal,75,16/17,2ème partie saison
7,5,6,FC Arsenal,63,17/18,2ème partie saison
8,4,5,FC Arsenal,70,18/19,2ème partie saison
9,7,8,FC Arsenal,56,19/20,2ème partie saison
