,index,Classement,Nom équipe,Points,Saison,Moment saison,Points_par_match
0,0,1,Manchester Utd.,80,10/11,2ème partie saison,2.11
1,1,2,Chelsea,71,10/11,2ème partie saison,1.87
2,2,3,Manchester City,71,10/11,2ème partie saison,1.87
3,3,4,FC Arsenal,68,10/11,2ème partie saison,1.79
4,4,5,Tottenham,62,10/11,2ème partie saison,1.63
5,5,6,Liverpool,58,10/11,2ème partie saison,1.53
6,0,1,Manchester City,89,11/12,2ème partie saison,2.34
7,1,2,Manchester Utd.,89,11/12,2ème partie saison,2.34
8,2,3,FC Arsenal,70,11/12,2ème partie saison,1.84
9,3,4,Tottenham,69,11/12,2ème partie saison,1.82
10,5,6,Chelsea,64,11/12,2ème partie saison,1.68
11,7,8,Liverpool,52,11/12,2ème partie saison,1.37
12,0,1,Manchester Utd.,89,12/13,2ème partie saison,2.34
13,1,2,Manchester City,78,12/13,2ème partie saison,2.05
14,2,3,Chelsea,75,12/13,2ème partie saison,1.97
15,3,4,FC Arsenal,73,12/13,2ème partie saison,1.92
16,4,5,Tottenham,72,12/13,2ème partie saison,1.89
17,6,7,Liverpool,61,12/13,2ème partie saison,1.61
18,0,1,Manchester City,86,13/14,2ème partie saison,2.26
19,1,2,Liverpool,84,13/14,2ème partie saison,2.21
20,2,3,Chelsea,82,13/14,2ème partie saison,2.16
21,3,4,FC Arsenal,79,13/14,2ème partie saison,2.08
22,5,6,Tottenham,69,13/14,2ème partie saison,1.82
23,6,7,Manchester Utd.,64,13/14,2ème partie saison,1.68
24,0,1,Chelsea,87,14/15,2ème partie saison,2.29
25,1,2,Manchester City,79,14/15,2ème partie saison,2.08
26,2,3,FC Arsenal,75,14/15,2ème partie saison,1.97
27,3,4,Manchester Utd.,70,14/15,2ème partie saison,1.84
28,4,5,Tottenham,64,14/15,2ème partie saison,1.68
29,5,6,Liverpool,62,14/15,2ème partie saison,1.63
30,1,2,FC Arsenal,71,15/16,2ème partie saison,1.87
31,2,3,Tottenham,70,15/16,2ème partie saison,1.84
32,3,4,Manchester City,66,15/16,2ème partie saison,1.74
33,4,5,Manchester Utd.,66,15/16,2ème partie saison,1.74
34,7,8,Liverpool,60,15/16,2ème partie saison,1.58
35,9,10,Chelsea,50,15/16,2ème partie saison,1.32
36,0,1,Chelsea,93,16/17,2ème partie saison,2.45
37,1,2,Tottenham,86,16/17,2ème partie saison,2.26
38,2,3,Manchester City,78,16/17,2ème partie saison,2.05
39,3,4,Liverpool,76,16/17,2ème partie saison,2.0
40,4,5,FC Arsenal,75,16/17,2ème partie saison,1.97
41,5,6,Manchester Utd.,69,16/17,2ème partie saison,1.82
42,0,1,Manchester City,100,17/18,2ème partie saison,2.63
43,1,2,Manchester Utd.,81,17/18,2ème partie saison,2.13
44,2,3,Tottenham,77,17/18,2ème partie saison,2.03
45,3,4,Liverpool,75,17/18,2ème partie saison,1.97
46,4,5,Chelsea,70,17/18,2ème partie saison,1.84
47,5,6,FC Arsenal,63,17/18,2ème partie saison,1.66
48,0,1,Manchester City,98,18/19,2ème partie saison,2.58
49,1,2,Liverpool,97,18/19,2ème partie saison,2.55
50,2,3,Chelsea,72,18/19,2ème partie saison,1.89
51,3,4,Tottenham,71,18/19,2ème partie saison,1.87
52,4,5,FC Arsenal,70,18/19,2ème partie saison,1.84
53,5,6,Manchester Utd.,66,18/19,2ème partie saison,1.74
54,0,1,Liverpool,99,19/20,2ème partie saison,2.61
55,1,2,Manchester City,81,19/20,2ème partie saison,2.13
56,2,3,Manchester Utd.,66,19/20,2ème partie saison,1.74
57,3,4,Chelsea,66,19/20,2ème partie saison,1.74
58,5,6,Tottenham,59,19/20,2ème partie saison,1.55
59,7,8,FC Arsenal,56,19/20,2ème partie saison,1.47
