,index,Classement,Nom équipe,Points,Saison,Moment saison
0,0,1,Manchester Utd.,80,10/11,2ème partie saison
1,0,1,Manchester City,89,11/12,2ème partie saison
2,0,1,Manchester Utd.,89,12/13,2ème partie saison
3,0,1,Manchester City,86,13/14,2ème partie saison
4,0,1,Chelsea,87,14/15,2ème partie saison
5,0,1,Leicester City,81,15/16,2ème partie saison
6,0,1,Chelsea,93,16/17,2ème partie saison
7,0,1,Manchester City,100,17/18,2ème partie saison
8,0,1,Manchester City,98,18/19,2ème partie saison
9,0,1,Liverpool,99,19/20,2ème partie saison
