,index,Classement,Nom équipe,Points,Saison,Moment saison
0,2,3,Manchester City,71,10/11,2ème partie saison
1,2,3,FC Arsenal,70,11/12,2ème partie saison
2,2,3,Chelsea,75,12/13,2ème partie saison
3,2,3,Chelsea,82,13/14,2ème partie saison
4,2,3,FC Arsenal,75,14/15,2ème partie saison
5,2,3,Tottenham,70,15/16,2ème partie saison
6,2,3,Manchester City,78,16/17,2ème partie saison
7,2,3,Tottenham,77,17/18,2ème partie saison
8,2,3,Chelsea,72,18/19,2ème partie saison
9,2,3,Manchester Utd.,66,19/20,2ème partie saison
