,level_0,index,Classement,Nom équipe,Points,Saison,Moment saison
0,0,1,2,FC Arsenal,38,10/11,1ère partie saison
1,1,3,4,FC Arsenal,36,11/12,1ère partie saison
2,2,3,4,FC Arsenal,33,12/13,1ère partie saison
3,3,0,1,FC Arsenal,42,13/14,1ère partie saison
4,4,4,5,FC Arsenal,33,14/15,1ère partie saison
5,5,0,1,FC Arsenal,39,15/16,1ère partie saison
6,6,2,3,FC Arsenal,40,16/17,1ère partie saison
7,7,5,6,FC Arsenal,34,17/18,1ère partie saison
8,8,4,5,FC Arsenal,38,18/19,1ère partie saison
9,9,10,11,FC Arsenal,24,19/20,1ère partie saison
10,0,3,4,FC Arsenal,30,10/11,2ème partie saison
11,1,2,3,FC Arsenal,34,11/12,2ème partie saison
12,2,3,4,FC Arsenal,40,12/13,2ème partie saison
13,3,3,4,FC Arsenal,37,13/14,2ème partie saison
14,4,2,3,FC Arsenal,42,14/15,2ème partie saison
15,5,1,2,FC Arsenal,32,15/16,2ème partie saison
16,6,4,5,FC Arsenal,35,16/17,2ème partie saison
17,7,5,6,FC Arsenal,29,17/18,2ème partie saison
18,8,4,5,FC Arsenal,32,18/19,2ème partie saison
19,9,7,8,FC Arsenal,32,19/20,2ème partie saison
20,0,2,3,Manchester City,35,10/11,1ère partie saison
21,1,0,1,Manchester City,45,11/12,1ère partie saison
22,2,1,2,Manchester City,39,12/13,1ère partie saison
23,3,1,2,Manchester City,41,13/14,1ère partie saison
24,4,1,2,Manchester City,43,14/15,1ère partie saison
25,5,2,3,Manchester City,36,15/16,1ère partie saison
26,6,4,5,Manchester City,39,16/17,1ère partie saison
27,7,0,1,Manchester City,55,17/18,1ère partie saison
28,8,2,3,Manchester City,44,18/19,1ère partie saison
29,9,2,3,Manchester City,38,19/20,1ère partie saison
30,0,2,3,Manchester City,36,10/11,2ème partie saison
31,1,0,1,Manchester City,44,11/12,2ème partie saison
32,2,1,2,Manchester City,39,12/13,2ème partie saison
33,3,0,1,Manchester City,45,13/14,2ème partie saison
34,4,1,2,Manchester City,36,14/15,2ème partie saison
35,5,3,4,Manchester City,30,15/16,2ème partie saison
36,6,2,3,Manchester City,39,16/17,2ème partie saison
37,7,0,1,Manchester City,45,17/18,2ème partie saison
38,8,0,1,Manchester City,54,18/19,2ème partie saison
39,9,1,2,Manchester City,43,19/20,2ème partie saison
40,0,0,1,Manchester Utd.,40,10/11,1ère partie saison
41,1,1,2,Manchester Utd.,45,11/12,1ère partie saison
42,2,0,1,Manchester Utd.,46,12/13,1ère partie saison
43,3,5,6,Manchester Utd.,34,13/14,1ère partie saison
44,4,2,3,Manchester Utd.,36,14/15,1ère partie saison
45,5,5,6,Manchester Utd.,30,15/16,1ère partie saison
46,6,5,6,Manchester Utd.,36,16/17,1ère partie saison
47,7,1,2,Manchester Utd.,42,17/18,1ère partie saison
48,8,5,6,Manchester Utd.,32,18/19,1ère partie saison
49,9,7,8,Manchester Utd.,28,19/20,1ère partie saison
50,0,0,1,Manchester Utd.,40,10/11,2ème partie saison
51,1,1,2,Manchester Utd.,44,11/12,2ème partie saison
52,2,0,1,Manchester Utd.,43,12/13,2ème partie saison
53,3,6,7,Manchester Utd.,30,13/14,2ème partie saison
54,4,3,4,Manchester Utd.,34,14/15,2ème partie saison
55,5,4,5,Manchester Utd.,36,15/16,2ème partie saison
56,6,5,6,Manchester Utd.,33,16/17,2ème partie saison
57,7,1,2,Manchester Utd.,39,17/18,2ème partie saison
58,8,5,6,Manchester Utd.,34,18/19,2ème partie saison
59,9,2,3,Manchester Utd.,38,19/20,2ème partie saison
60,0,3,4,Chelsea,34,10/11,1ère partie saison
61,1,4,5,Chelsea,34,11/12,1ère partie saison
62,2,2,3,Chelsea,36,12/13,1ère partie saison
63,3,2,3,Chelsea,40,13/14,1ère partie saison
64,4,0,1,Chelsea,46,14/15,1ère partie saison
65,5,13,14,Chelsea,20,15/16,1ère partie saison
66,6,0,1,Chelsea,49,16/17,1ère partie saison
67,7,2,3,Chelsea,39,17/18,1ère partie saison
68,8,3,4,Chelsea,40,18/19,1ère partie saison
69,9,3,4,Chelsea,32,19/20,1ère partie saison
70,0,1,2,Chelsea,37,10/11,2ème partie saison
71,1,5,6,Chelsea,30,11/12,2ème partie saison
72,2,2,3,Chelsea,39,12/13,2ème partie saison
73,3,2,3,Chelsea,42,13/14,2ème partie saison
74,4,0,1,Chelsea,41,14/15,2ème partie saison
75,5,9,10,Chelsea,30,15/16,2ème partie saison
76,6,0,1,Chelsea,44,16/17,2ème partie saison
77,7,4,5,Chelsea,31,17/18,2ème partie saison
78,8,2,3,Chelsea,32,18/19,2ème partie saison
79,9,3,4,Chelsea,34,19/20,2ème partie saison
80,0,9,10,Liverpool,25,10/11,1ère partie saison
81,1,5,6,Liverpool,34,11/12,1ère partie saison
82,2,9,10,Liverpool,25,12/13,1ère partie saison
83,3,4,5,Liverpool,36,13/14,1ère partie saison
84,4,7,8,Liverpool,28,14/15,1ère partie saison
85,5,6,7,Liverpool,30,15/16,1ère partie saison
86,6,1,2,Liverpool,43,16/17,1ère partie saison
87,7,3,4,Liverpool,35,17/18,1ère partie saison
88,8,0,1,Liverpool,51,18/19,1ère partie saison
89,9,0,1,Liverpool,55,19/20,1ère partie saison
90,0,5,6,Liverpool,33,10/11,2ème partie saison
91,1,7,8,Liverpool,18,11/12,2ème partie saison
92,2,6,7,Liverpool,36,12/13,2ème partie saison
93,3,1,2,Liverpool,48,13/14,2ème partie saison
94,4,5,6,Liverpool,34,14/15,2ème partie saison
95,5,7,8,Liverpool,30,15/16,2ème partie saison
96,6,3,4,Liverpool,33,16/17,2ème partie saison
97,7,3,4,Liverpool,40,17/18,2ème partie saison
98,8,1,2,Liverpool,46,18/19,2ème partie saison
99,9,0,1,Liverpool,44,19/20,2ème partie saison
100,0,4,5,Tottenham,30,10/11,1ère partie saison
101,1,2,3,Tottenham,42,11/12,1ère partie saison
102,2,4,5,Tottenham,33,12/13,1ère partie saison
103,3,6,7,Tottenham,34,13/14,1ère partie saison
104,4,6,7,Tottenham,31,14/15,1ère partie saison
105,5,3,4,Tottenham,35,15/16,1ère partie saison
106,6,3,4,Tottenham,39,16/17,1ère partie saison
107,7,4,5,Tottenham,34,17/18,1ère partie saison
108,8,1,2,Tottenham,45,18/19,1ère partie saison
109,9,5,6,Tottenham,29,19/20,1ère partie saison
110,0,4,5,Tottenham,32,10/11,2ème partie saison
111,1,3,4,Tottenham,27,11/12,2ème partie saison
112,2,4,5,Tottenham,39,12/13,2ème partie saison
113,3,5,6,Tottenham,35,13/14,2ème partie saison
114,4,4,5,Tottenham,33,14/15,2ème partie saison
115,5,2,3,Tottenham,35,15/16,2ème partie saison
116,6,1,2,Tottenham,47,16/17,2ème partie saison
117,7,2,3,Tottenham,43,17/18,2ème partie saison
118,8,3,4,Tottenham,26,18/19,2ème partie saison
119,9,5,6,Tottenham,30,19/20,2ème partie saison
