season,goal_away_ft,away_shots,away_shots_on_target,ratio tirs cadrés / tirs,ratio buts / tirs cadrés,ratio buts / tirs,ratio tirs cadrés / tirs domicile,ratio buts / tirs cadrés domicile,ratio buts / tirs domicile,goal_home_ft,home_shots,home_shots_on_target,ratio tirs cadrés / tirs,ratio buts / tirs cadrés,ratio buts / tirs,ratio tirs cadrés / tirs extérieur,ratio buts / tirs cadrés extérieur,ratio buts / tirs extérieur,ratio tirs cadrés / tirs global,ratios buts / tirs cadrés global,ratios buts / tirs global
10/11,15,155.0,51.0,0.32903225806451614,0.29411764705882354,0.0967741935483871,0.32903225806451614,0.29411764705882354,0.0967741935483871,28,248.0,88.0,0.3548387096774194,0.3181818181818182,0.11290322580645161,0.3548387096774194,0.3181818181818182,0.11290322580645161,0.34,0.31,0.1
11/12,17,168.0,50.0,0.2976190476190476,0.34,0.10119047619047619,0.2976190476190476,0.34,0.10119047619047619,32,225.0,81.0,0.36,0.3950617283950617,0.14222222222222222,0.36,0.3950617283950617,0.14222222222222222,0.33,0.37,0.12
12/13,23,182.0,66.0,0.3626373626373626,0.3484848484848485,0.12637362637362637,0.3626373626373626,0.3484848484848485,0.12637362637362637,14,220.0,77.0,0.35,0.18181818181818182,0.06363636363636363,0.35,0.18181818181818182,0.06363636363636363,0.36,0.27,0.1
13/14,11,193.0,60.0,0.31088082901554404,0.18333333333333332,0.05699481865284974,0.31088082901554404,0.18333333333333332,0.05699481865284974,30,260.0,97.0,0.3730769230769231,0.30927835051546393,0.11538461538461539,0.3730769230769231,0.30927835051546393,0.11538461538461539,0.34,0.25,0.09
14/15,14,170.0,56.0,0.32941176470588235,0.25,0.08235294117647059,0.32941176470588235,0.25,0.08235294117647059,22,236.0,74.0,0.3135593220338983,0.2972972972972973,0.09322033898305085,0.3135593220338983,0.2972972972972973,0.09322033898305085,0.32,0.27,0.09
15/16,11,204.0,74.0,0.3627450980392157,0.14864864864864866,0.05392156862745098,0.3627450980392157,0.14864864864864866,0.05392156862745098,25,247.0,78.0,0.3157894736842105,0.32051282051282054,0.10121457489878542,0.3157894736842105,0.32051282051282054,0.10121457489878542,0.34,0.23,0.08
16/17,16,199.0,80.0,0.4020100502512563,0.2,0.08040201005025126,0.4020100502512563,0.2,0.08040201005025126,28,233.0,87.0,0.37339055793991416,0.3218390804597701,0.12017167381974249,0.37339055793991416,0.3218390804597701,0.12017167381974249,0.39,0.26,0.1
17/18,20,184.0,70.0,0.3804347826086957,0.2857142857142857,0.10869565217391304,0.3804347826086957,0.2857142857142857,0.10869565217391304,31,239.0,79.0,0.3305439330543933,0.3924050632911392,0.1297071129707113,0.3305439330543933,0.3924050632911392,0.1297071129707113,0.36,0.34,0.12
18/19,16,220.0,76.0,0.34545454545454546,0.21052631578947367,0.07272727272727272,0.34545454545454546,0.21052631578947367,0.07272727272727272,35,279.0,109.0,0.3906810035842294,0.3211009174311927,0.12544802867383512,0.3906810035842294,0.3211009174311927,0.12544802867383512,0.37,0.27,0.1
19/20,24,284.0,105.0,0.36971830985915494,0.22857142857142856,0.08450704225352113,0.36971830985915494,0.22857142857142856,0.08450704225352113,24,269.0,92.0,0.3420074349442379,0.2608695652173913,0.08921933085501858,0.3420074349442379,0.2608695652173913,0.08921933085501858,0.36,0.24,0.09
