Name,Age,Saison
Shay Given,35,2010-2011
Stuart Taylor,30,2010-2011
Joe Hart,24,2010-2011
Micah Richards,23,2010-2011
Wayne Bridge,30,2010-2011
Vincent Kompany,25,2010-2011
Aleksandar Kolarov,25,2010-2011
Jérôme Boateng,22,2010-2011
Joleon Lescott,28,2010-2011
Greg Cunningham,20,2010-2011
Kolo Touré,30,2010-2011
Shay Logan,23,2010-2011
Javan Vidal,22,2010-2011
Dedryck Boyata,20,2010-2011
Ben Mee,21,2010-2011
Ryan McGivern,21,2010-2011
Frédéric Veseli,18,2010-2011
Reece Wabara,19,2010-2011
Omar Elabdellaoui,19,2010-2011
Razak Nuhu,20,2010-2011
Nedum Onuoha,24,2010-2011
Patrick Vieira,35,2010-2011
Abdul Razak,18,2010-2011
Pablo Zabaleta,26,2010-2011
Michael Johnson,23,2010-2011
James Milner,25,2010-2011
Stephen Ireland,24,2010-2011
Shaun Wright-Phillips,29,2010-2011
Adam Johnson,23,2010-2011
Gareth Barry,30,2010-2011
David Silva,25,2010-2011
Nigel de Jong,26,2010-2011
Scott Kay,21,2010-2011
Yaya Touré,28,2010-2011
Abdisalam Ibrahim,20,2010-2011
Chris Chantler,20,2010-2011
Andrew Tutte,20,2010-2011
Emmanuel Adebayor,27,2010-2011
Edin Dzeko,25,2010-2011
Roque Santa Cruz,29,2010-2011
Jô,24,2010-2011
Carlos Tévez,27,2010-2011
Craig Bellamy,31,2010-2011
Mario Balotelli,20,2010-2011
Alex Nimely,20,2010-2011
John Guidetti,19,2010-2011
Stuart Taylor,31,2011-2012
Joe Hart,25,2011-2012
Costel Pantilimon,25,2011-2012
Gunnar Nielsen,25,2011-2012
Eirik Johansen,19,2011-2012
Ryan McGivern,22,2011-2012
Micah Richards,24,2011-2012
Wayne Bridge,31,2011-2012
Vincent Kompany,26,2011-2012
Pablo Zabaleta,27,2011-2012
Joleon Lescott,29,2011-2012
Aleksandar Kolarov,26,2011-2012
Stefan Savić,21,2011-2012
Gaël Clichy,26,2011-2012
Kolo Touré,31,2011-2012
Karim Rekik,17,2011-2012
Tommy Smith,20,2011-2012
Frédéric Veseli,19,2011-2012
Reece Wabara,20,2011-2012
Omar Elabdellaoui,20,2011-2012
Nedum Onuoha,25,2011-2012
Owen Hargreaves,31,2011-2012
James Milner,26,2011-2012
Shaun Wright-Phillips,30,2011-2012
David Pizarro,32,2011-2012
Adam Johnson,24,2011-2012
Gareth Barry,31,2011-2012
Samir Nasri,25,2011-2012
David Silva,26,2011-2012
Nigel de Jong,27,2011-2012
Denis Suárez,18,2011-2012
Yaya Touré,29,2011-2012
Chris Chantler,21,2011-2012
Abdul Razak,19,2011-2012
Joan Román,19,2011-2012
Edin Dzeko,26,2011-2012
Sergio Agüero,24,2011-2012
Carlos Tévez,28,2011-2012
Mario Balotelli,21,2011-2012
Harry Bunn,19,2011-2012
Luca Scapuzzi,21,2011-2012
Joe Hart,26,2012-2013
Richard Wright,35,2012-2013
Costel Pantilimon,26,2012-2013
