,Saison,Equipe,Matchs manqués
0,10/11,Arsenal,253
1,10/11,Chelsea,134
2,10/11,Liverpool,185
3,10/11,City,53
4,10/11,United,233
5,10/11,Tottenham,134
6,11/12,Arsenal,371
7,11/12,Chelsea,45
8,11/12,Liverpool,184
9,11/12,City,13
10,11/12,United,204
11,11/12,Tottenham,191
12,12/13,Arsenal,266
13,12/13,Chelsea,130
14,12/13,Liverpool,198
15,12/13,City,164
16,12/13,United,211
17,12/13,Tottenham,200
18,13/14,Arsenal,287
19,13/14,Chelsea,114
20,13/14,Liverpool,143
21,13/14,City,149
22,13/14,United,122
23,13/14,Tottenham,183
24,14/15,Arsenal,307
25,14/15,Chelsea,95
26,14/15,Liverpool,313
27,14/15,City,138
28,14/15,United,179
29,14/15,Tottenham,118
30,15/16,Arsenal,457
31,15/16,Chelsea,146
32,15/16,Liverpool,329
33,15/16,City,270
34,15/16,United,285
35,15/16,Tottenham,130
36,16/17,Arsenal,401
37,16/17,Chelsea,120
38,16/17,Liverpool,204
39,16/17,City,173
40,16/17,United,319
41,16/17,Tottenham,155
42,17/18,Arsenal,230
43,17/18,Chelsea,350
44,17/18,Liverpool,434
45,17/18,City,198
46,17/18,United,189
47,17/18,Tottenham,162
48,18/19,Arsenal,363
49,18/19,Chelsea,330
50,18/19,Liverpool,213
51,18/19,City,344
52,18/19,United,350
53,18/19,Tottenham,375
54,19/20,Arsenal,262
55,19/20,Chelsea,233
56,19/20,Liverpool,277
57,19/20,City,195
58,19/20,United,377
59,19/20,Tottenham,236
60,20/21,Arsenal,241
61,20/21,Chelsea,152
62,20/21,Liverpool,321
63,20/21,City,229
64,20/21,United,217
65,20/21,Tottenham,162
