,Arsenal,Manchester United,Manchester City,Chelsea,Liverpool,Tottenham
2010,24.35,25.14,24.42,25.45,24.45,24.45
2011,24.16,24.56,25.42,26.69,25.58,25.58
2012,23.95,24.71,24.83,25.94,23.46,23.46
2013,24.54,25.54,26.81,24.71,24.11,24.11
2014,24.0,24.88,26.68,24.92,24.31,24.31
2015,24.66,23.52,25.37,24.65,23.43,23.43
2016,24.74,24.43,26.43,24.8,24.39,24.39
2017,24.84,26.06,25.06,24.7,24.89,24.89
2018,24.9,25.33,24.26,25.57,24.72,24.72
2019,24.29,23.88,25.15,24.06,23.25,23.25
2020,24.38,24.95,24.92,25.15,24.4,24.4
