Club(s),Depenses,Arrives,Revenus,Depart,Balance
Manchester City,1.72,268,"543,99 mio. €",275,"-1.171,95 mio. €"
Chelsea FC,1.59,336,"982,91 mio. €",337,"-603,59 mio. €"
Manchester United,1.38,173,"412,66 mio. €",180,"-968,57 mio. €"
FC Liverpool,1.1,210,"729,17 mio. €",210,"-370,71 mio. €"
FC Arsenal,0.93201,193,"448,94 mio. €",199,"-483,07 mio. €"
Tottenham Hotspur,0.81638,218,"628,01 mio. €",224,"-188,37 mio. €"
FC Everton,0.7340800000000001,199,"419,21 mio. €",197,"-314,88 mio. €"
West Ham United,0.58156,233,"268,32 mio. €",241,"-313,23 mio. €"
Leicester City,0.5568099999999999,260,"373,21 mio. €",261,"-183,60 mio. €"
Aston Villa,0.5536599999999999,252,"235,01 mio. €",260,"-318,65 mio. €"
FC Southampton,0.53683,209,"458,17 mio. €",213,"-78,65 mio. €"
Newcastle United,0.5120800000000001,226,"337,02 mio. €",230,"-175,05 mio. €"
Wolverhampton Wanderers,0.44038,326,"198,12 mio. €",339,"-242,27 mio. €"
FC Fulham,0.33104,271,"159,30 mio. €",276,"-171,74 mio. €"
FC Watford,0.32389,347,"246,55 mio. €",341,"-77,34 mio. €"
Stoke City,0.30369999999999997,229,"108,64 mio. €",230,"-195,05 mio. €"
AFC Bournemouth,0.28889,274,"181,66 mio. €",273,"-107,24 mio. €"
Crystal Palace,0.28852999999999995,260,"153,96 mio. €",253,"-134,58 mio. €"
West Bromwich Albion,0.28168,204,"143,31 mio. €",202,"-138,37 mio. €"
Brighton & Hove Albion,0.28120999999999996,291,"65,39 mio. €",287,"-215,82 mio. €"
AFC Sunderland,0.26574000000000003,287,"208,49 mio. €",293,"-57,24 mio. €"
Norwich City,0.20192,279,"200,94 mio. €",270,-983 K €
Leeds United,0.19913999999999998,293,"90,92 mio. €",292,"-108,23 mio. €"
Burnley FC,0.18981,215,"122,00 mio. €",227,"-67,81 mio. €"
Middlesbrough FC,0.18861,269,"160,12 mio. €",272,"-28,49 mio. €"
