Club(s),Depenses,Arrives,Revenus,Depart,Balance
Manchester City,"952,56 mio. €",130,"319,30 mio. €",129,"-633,26 mio. €"
Chelsea FC,"894,30 mio. €",147,"601,17 mio. €",145,"-293,13 mio. €"
Manchester United,"784,70 mio. €",58,"223,98 mio. €",62,"-560,72 mio. €"
FC Arsenal,"592,80 mio. €",70,"254,25 mio. €",75,"-338,55 mio. €"
FC Everton,"583,37 mio. €",102,"308,06 mio. €",104,"-275,32 mio. €"
FC Liverpool,"530,20 mio. €",82,"372,90 mio. €",82,"-157,30 mio. €"
Tottenham Hotspur,"465,50 mio. €",53,"239,25 mio. €",48,"-226,25 mio. €"
Leicester City,"454,25 mio. €",79,"354,22 mio. €",80,"-100,02 mio. €"
West Ham United,"415,70 mio. €",81,"224,68 mio. €",87,"-191,02 mio. €"
Wolverhampton Wanderers,"377,75 mio. €",142,"135,91 mio. €",150,"-241,84 mio. €"
Aston Villa,"368,25 mio. €",103,"85,55 mio. €",110,"-282,70 mio. €"
FC Southampton,"291,20 mio. €",76,"263,10 mio. €",76,"-28,10 mio. €"
Newcastle United,"282,40 mio. €",97,"209,06 mio. €",104,"-73,34 mio. €"
Brighton & Hove Albion,"252,61 mio. €",126,"43,12 mio. €",125,"-209,49 mio. €"
FC Fulham,"236,47 mio. €",105,"75,83 mio. €",107,"-160,64 mio. €"
FC Watford,"229,95 mio. €",136,"221,58 mio. €",135,"-8,37 mio. €"
AFC Bournemouth,"221,50 mio. €",76,"172,07 mio. €",93,"-49,44 mio. €"
Crystal Palace,"192,00 mio. €",74,"128,93 mio. €",81,"-63,08 mio. €"
Leeds United,"176,50 mio. €",122,"62,78 mio. €",119,"-113,72 mio. €"
Stoke City,"171,67 mio. €",105,"72,24 mio. €",104,"-99,42 mio. €"
West Bromwich Albion,"170,23 mio. €",91,"100,99 mio. €",84,"-69,24 mio. €"
Sheffield United,"146,30 mio. €",120,"17,69 mio. €",123,"-128,61 mio. €"
Burnley FC,"139,29 mio. €",67,"75,05 mio. €",74,"-64,24 mio. €"
Middlesbrough FC,"131,62 mio. €",101,"130,48 mio. €",106,"-1,15 mio. €"
Huddersfield Town,"125,60 mio. €",112,"80,24 mio. €",101,"-45,37 mio. €"
